circle,division,subdivision,section,area,totservices,billdservices,units,load,Year,Month,Date
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,1,1.0,101.0,22.0,2021,6,2021-06-01
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,1,1.0,34.0,8.0,2021,6,2021-06-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,2,2.0,539.0,65.0,2021,6,2021-06-01
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY HV2,1,1.0,6.0,15.0,2021,6,2021-06-01
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,NACHARAM,1,1.0,3.0,15.0,2021,6,2021-06-01
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,GHATKESAR,1,1.0,0.0,30.0,2021,6,2021-06-01
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,SHANKARMUTT,GRC HV SHANKARMUTT,1,1.0,14.0,15.0,2021,6,2021-06-01
HYDERABAD CENTRAL,SAIFABAD,SAIFABAD,SOMAJIGUDA,30-NO AREA,1,1.0,37.0,22.0,2021,6,2021-06-01
HYDERABAD SOUTH,BEGUM BAZAR,BEGUM BAZAR,CHUDI BAZAR,GRCHV CHUDIBAZAR,1,0.0,0.0,22.0,2021,6,2021-06-01
MEDCHAL,MEDCHAL,QUTBULLAPUR,KOMPALLY,KOMPALLY HV,1,1.0,431.0,22.0,2021,6,2021-06-01
MEDCHAL,KUKATPALLY,MIYAPUR,BACHUPALLY,CT&HV,1,1.0,14.0,22.0,2021,6,2021-06-01
MEDCHAL,MEDCHAL,SHAMEERPET,SHAMEERPET,THUMUKUNTA,1,1.0,23.0,30.0,2021,6,2021-06-01
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDERNAGAR CT METERS,1,1.0,20.0,15.0,2021,6,2021-06-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,MAHESHWARAM,IMAMGUDA,1,1.0,64.0,15.0,2021,6,2021-06-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,PAHADISHARIFF,SHAHEEN NAGAR II,1,1.0,42.0,15.0,2021,6,2021-06-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,GAGANPAHAD,GAGANPAHAD,1,1.0,13.0,22.0,2021,6,2021-06-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SAI COLONY,1,1.0,3.0,22.0,2021,6,2021-06-01
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,NADELGUL,1,1.0,21.0,30.0,2021,6,2021-06-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,KRISHNA NAGAR-,1,1.0,1.0,7.0,2021,6,2021-06-01
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BN REDDY NAGAR,HASTINAPURAM CENTR,1,1.0,0.0,22.0,2021,6,2021-06-01
SAROORNAGAR,CHAMPAPET,CHAMPAPET,CHAMPAPET,CPT SOUTH,1,1.0,33.0,22.0,2021,6,2021-06-01
SECUNDERABAD,SECUNDERABAD,LALBAZAR,BOLLARUM,GRC HIGH VALUE (GRP-M),1,0.0,0.0,10.0,2021,6,2021-06-01
